RequestId,OriginStop,DestStop,SpawnTime,BoardTime,AlightTime,Wait,Ride,Total
221,1,3,34100.0,46290.0,49000.0,12190.0,2710.0,14900.0
222,2,0,34220.0,49965.0,51945.0,15745.0,1980.0,17725.0
223,3,2,34410.0,50930.0,56310.0,16520.0,5380.0,21900.0
224,0,1,34475.0,47985.0,53640.0,13510.0,5655.0,19165.0
225,3,2,34480.0,50930.0,56310.0,16450.0,5380.0,21830.0
226,1,2,34550.0,46290.0,49965.0,11740.0,3675.0,15415.0
227,0,3,34595.0,47985.0,49000.0,13390.0,1015.0,14405.0
228,2,1,34675.0,49965.0,53640.0,15290.0,3675.0,18965.0
229,2,3,34900.0,49965.0,50930.0,15065.0,965.0,16030.0
230,1,2,35140.0,46290.0,49965.0,11150.0,3675.0,14825.0
231,1,3,35200.0,46290.0,49000.0,11090.0,2710.0,13800.0
232,0,3,35265.0,51945.0,55345.0,16680.0,3400.0,20080.0
234,1,2,35655.0,53640.0,56310.0,17985.0,2670.0,20655.0
235,0,2,35680.0,51945.0,56310.0,16265.0,4365.0,20630.0
236,3,2,36605.0,55345.0,56310.0,18740.0,965.0,19705.0
237,0,3,37055.0,51945.0,55345.0,14890.0,3400.0,18290.0
238,2,1,37270.0,49965.0,53640.0,12695.0,3675.0,16370.0
239,2,0,37360.0,49965.0,51945.0,12605.0,1980.0,14585.0
240,2,1,37590.0,49965.0,53640.0,12375.0,3675.0,16050.0
241,2,0,37700.0,49965.0,51945.0,12265.0,1980.0,14245.0
242,0,2,37745.0,51945.0,56310.0,14200.0,4365.0,18565.0
243,0,2,37905.0,51945.0,56310.0,14040.0,4365.0,18405.0
244,2,1,38115.0,49965.0,53640.0,11850.0,3675.0,15525.0
245,0,1,38330.0,51945.0,53640.0,13615.0,1695.0,15310.0
246,0,2,39095.0,51945.0,56310.0,12850.0,4365.0,17215.0
247,3,2,39415.0,55345.0,56310.0,15930.0,965.0,16895.0
248,0,2,39610.0,51945.0,56310.0,12335.0,4365.0,16700.0
250,3,2,39665.0,55345.0,56310.0,15680.0,965.0,16645.0
251,2,0,39725.0,49965.0,51945.0,10240.0,1980.0,12220.0
252,1,2,39785.0,53640.0,56310.0,13855.0,2670.0,16525.0
254,0,3,40970.0,51945.0,55345.0,10975.0,3400.0,14375.0
257,1,3,42250.0,53640.0,55345.0,11390.0,1705.0,13095.0
258,3,2,42435.0,55345.0,56310.0,12910.0,965.0,13875.0
260,1,3,42810.0,53640.0,55345.0,10830.0,1705.0,12535.0
262,1,3,43755.0,53640.0,55345.0,9885.0,1705.0,11590.0
266,3,2,44885.0,55345.0,56310.0,10460.0,965.0,11425.0
267,2,3,46125.0,56310.0,57275.0,10185.0,965.0,11150.0
268,1,2,47865.0,53640.0,56310.0,5775.0,2670.0,8445.0
272,1,3,49000.0,53640.0,55345.0,4640.0,1705.0,6345.0
290,2,3,54580.0,56310.0,57275.0,1730.0,965.0,2695.0
296,2,3,54915.0,56310.0,57275.0,1395.0,965.0,2360.0
298,2,3,55435.0,56310.0,57275.0,875.0,965.0,1840.0
